Model,Price,Year,Transmission,Fuel type,City
Opel Combo,69000,2007,Автомат,Дизель,Худжанд
Opel Astra H,98500,2010,Механика,Бензин,Кабодиён
Opel Astra G,65000,2004,Механика,Бензин + газ,Фархор
Opel Astra G,64000,1998,Механика,Бензин + газ,Вахдат
Opel Astra F,13500,1992,Механика,Газ,Вахдат
Opel Astra F,40000,1997,Механика,Бензин,Душанбе
Opel Astra F,55000,1998,Механика,Бензин + газ,Худжанд
Opel Vectra A,28000,1995,Механика,Бензин + газ,Рашт
Opel Vectra A,19000,1992,Механика,Бензин + газ,Душанбе
Opel Astra H,77000,2008,Механика,Бензин,Душанбе
Opel Vectra A,19000,1997,Механика,Бензин + газ,Дангара
Opel Vectra A,30000,1995,Механика,Бензин + газ,Яван
Opel Astra G,75000,2009,Механика,Бензин,Душанбе
Opel Astra F,44000,1997,Автомат,Бензин,Пенджикент
Opel Astra F,27999,1997,Механика,Бензин + газ,Душанбе
Opel Astra G,52000,2001,Механика,Бензин + газ,Душанбе
Opel Astra F,55000,1998,Механика,Бензин + газ,Душанбе
Opel Astra G,69000,2001,Механика,Бензин,Душанбе
Opel Astra F,33000,1997,Механика,Бензин,Душанбе
Opel Astra F,22500,1996,Механика,Бензин + газ,Куляб
Opel Astra F,40000,1998,Механика,Бензин + газ,Истаравшан
Opel Astra G,59000,1998,Механика,Бензин + газ,Дусти (Джиликуль)
Opel Astra F,43000,1995,Механика,Бензин,Яван
Opel Astra F,33000,1997,Механика,Бензин,Душанбе
Opel Vectra B,25000,1996,Механика,Бензин + газ,Душанбе
Opel Vectra B,31000,1996,Механика,Бензин + газ,Пенджикент
Opel Astra F,15000,1992,Механика,Газ,Вахдат
Opel Vectra B,38000,1996,Автомат,Бензин + газ,Душанбе
Opel Vectra B,40000,1999,Механика,Бензин + газ,Худжанд
Opel Astra H,70000,2010,Механика,Бензин,Худжанд
Opel Astra H,72000,2007,Механика,Бензин,Бободжон Гафуров
Opel Vectra B,25000,1996,Механика,Бензин + газ,Файзабад
Opel Astra G,65500,2001,Механика,Бензин + газ,Душанбе
Opel Astra F,22500,1994,Механика,Бензин + газ,Душанбе
Opel Astra G,80000,2003,Механика,Бензин,Душанбе
Opel Vectra C,69000,2003,Автомат,Бензин + газ,Душанбе
Opel Astra G,46000,1999,Механика,Бензин + газ,Ашт
Opel Zafira,90000,2006,Механика,Бензин + газ,Худжанд
Opel Astra H,57000,2007,Механика,Дизель,Душанбе
Opel Astra G,55000,1999,Механика,Бензин + газ,Вахдат
Opel Vectra B,28000,1999,Механика,Бензин + газ,Спитамен
Opel Zafira,70000,2003,Механика,Бензин,Душанбе
Opel Astra F,33500,1998,Механика,Бензин + газ,Пенджикент
Opel Astra F,42000,1997,Механика,Бензин,Вахш
Opel Astra H,70000,2007,Механика,Бензин,Худжанд
Opel Astra F,27000,1993,Механика,Бензин + газ,Душанбе
Opel Astra G,59000,2001,Механика,Бензин + газ,Душанбе
Opel Astra G,55000,2002,Механика,Бензин + газ,Душанбе
Opel Vectra A,23000,1994,Механика,Бензин + газ,Исфара
Opel Vectra B,30000,1997,Механика,Бензин + газ,Вахдат
Opel Astra F,40000,1996,Механика,Бензин + газ,Вахдат
Opel Vectra B,43000,2000,Механика,Бензин,Душанбе
Opel Vectra A,12999,1992,Механика,Бензин + газ,Пенджикент
Opel Astra G,65000,2002,Механика,Бензин,Вахдат
Opel Astra J,55999,1998,Механика,Бензин + газ,Душанбе
Opel Astra H,60000,2006,Механика,Бензин,Душанбе
Opel Astra H,70000,2006,Механика,Бензин,Душанбе
Opel Astra G,50000,1998,Механика,Бензин,Хамадани
Opel Vectra A,23500,1994,Механика,Бензин + газ,Вахдат
Opel Astra F,36500,1997,Механика,Бензин + газ,Вахдат
Opel Vectra A,19500,1990,Механика,Бензин + газ,Вахдат
Opel Vectra A,25000,1994,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra G,63000,1999,Механика,Бензин + газ,Душанбе
Opel Zafira,61500,2006,Механика,Дизель,Худжанд
Opel Vectra B,28000,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,38500,1999,Механика,Бензин,Кушониён (Бохтар)
Opel Vectra A,23500,1995,Механика,Бензин + газ,Вахдат
Opel Astra G,70000,2001,Автомат,Бензин + газ,Душанбе
Opel Vectra A,16000,1991,Механика,Бензин + газ,Рудаки
Opel Astra G,55000,1999,Механика,Бензин,Душанбе
Opel Vectra A,25000,1993,Механика,Бензин,Хамадани
Opel Vectra B,28999,1996,Механика,Бензин + газ,Вахдат
Opel Astra F,45500,1998,Механика,Бензин + газ,Душанбе
Opel Vectra B,50000,2000,Механика,Бензин + газ,Пяндж
Opel Vectra B,17000,1992,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra H,70000,2004,Автомат,Бензин + газ,Канибадам
Opel Vectra B,25500,1996,Механика,Бензин + газ,Канибадам
Opel Astra G,55000,1999,Механика,Бензин,Душанбе
Opel Astra G,47999,2000,Механика,Бензин,Хуросон
Opel Astra G,56000,1999,Механика,Бензин + газ,Душанбе
Opel Astra G,55000,1998,Механика,Бензин + газ,Душанбе
Opel Zafira,70000,2003,Механика,Бензин,Душанбе
Opel Astra F,48000,1997,Механика,Бензин,Шахринав
Opel Astra F,24000,1992,Механика,Бензин + газ,Душанбе
Opel Astra F,39500,1996,Механика,Бензин,Пяндж
Opel Vectra B,35000,1996,Механика,Бензин + газ,Душанбе
Opel Combo,19000,1996,Механика,Бензин + газ,Истаравшан
Opel Astra G,70000,2002,Механика,Бензин + газ,Душанбе
Opel Vectra A,37000,1995,Механика,Бензин + газ,Шахринав
Opel Astra F,23500,1996,Механика,Бензин,Душанбе
Opel Vectra A,33000,1995,Механика,Бензин + газ,Канибадам
Opel Astra H,59999,2004,Автомат,Бензин,Бохтар (Курган-Тюбе)
Opel Astra G,53000,1999,Механика,Бензин + газ,Худжанд
Opel Astra F,22000,1992,Механика,Бензин + газ,Душанбе
Opel Zafira,110000,2014,Механика,Бензин,Душанбе
Opel Zafira,134999,2014,Механика,Дизель,Душанбе
Opel Astra H,72000,2006,Механика,Бензин,Душанбе
Opel Astra G,85000,2004,Механика,Бензин,Вахдат
Opel Astra H,18000,1992,Механика,Бензин + газ,Фархор
Opel Astra G,56000,2000,Автомат,Бензин + газ,Душанбе
Opel Astra F,36000,1997,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Astra F,38000,1994,Механика,Бензин + газ,Душанбе
Opel Astra F,37000,1997,Механика,Бензин + газ,Душанбе
Opel Zafira,85000,2011,Механика,Бензин,Душанбе
Opel Zafira,60000,1999,Автомат,Бензин + газ,Худжанд
Opel Astra G,70000,2006,Механика,Бензин,Душанбе
Opel Astra J,58000,1999,Механика,Бензин + газ,Исфара
Opel Zafira,80000,2007,Механика,Дизель,Душанбе
Opel Astra F,45000,1996,Механика,Бензин,Яван
Opel Astra G,56000,1999,Механика,Бензин,Пенджикент
Opel Vectra B,33000,1996,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,34000,1994,Механика,Бензин + газ,Пенджикент
Opel Astra G,61000,2003,Механика,Бензин,Вахш
Opel Vectra A,21500,1995,Механика,Бензин + газ,Худжанд
Opel Vectra B,25000,1997,Механика,Бензин + газ,Яван
Opel Astra G,56000,1999,Механика,Бензин + газ,Канибадам
Opel Astra G,52000,1998,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra F,20000,1996,Механика,Бензин + газ,Рашт
Opel Vectra B,40000,1999,Механика,Бензин + газ,Худжанд
Opel Astra G,47000,1998,Механика,Бензин + газ,Куляб
Opel Vectra B,40000,1999,Механика,Бензин + газ,Худжанд
Opel Astra G,47000,1998,Механика,Бензин + газ,Куляб
Opel Vectra A,14000,1993,Механика,Бензин + газ,Джалолиддин Балхи (Руми)
Opel Astra G,57000,1999,Механика,Бензин,Худжанд
Opel Astra H,60000,2005,Механика,Бензин + газ,Пенджикент
Opel Astra G,57000,1998,Механика,Бензин + газ,Бободжон Гафуров
Opel Zafira,64000,2006,Механика,Дизель,Бободжон Гафуров
Opel Astra G,52000,1999,Механика,Бензин + газ,Восе
Opel Vectra A,23000,1994,Механика,Бензин + газ,Нурек
Opel Astra G,55000,1998,Механика,Бензин,Турсунзаде
Opel Zafira,90000,2007,Механика,Бензин,Худжанд
Opel Zafira,89000,2008,Механика,Бензин + газ,Худжанд
Opel Astra H,85000,2008,Механика,Бензин,Истаравшан
Opel Astra F,30000,1996,Механика,Бензин + газ,Хамадани
Opel Vectra A,19000,1994,Механика,Бензин + газ,Худжанд
Opel Astra F,45000,1996,Механика,Бензин,Вахш
Opel Zafira,80000,2008,Механика,Бензин + газ,Худжанд
Opel Astra G,58000,1999,Автомат,Бензин + газ,Душанбе
Opel Vectra A,13000,1991,Механика,Бензин + газ,Душанбе
Opel Zafira,98000,2011,Механика,Бензин,Худжанд
Opel Astra F,25000,1992,Механика,Бензин + газ,Бободжон Гафуров
Opel Vectra A,18000,1990,Механика,Бензин + газ,Канибадам
Opel Astra G,34500,1998,Механика,Бензин + газ,Худжанд
Opel Vectra B,37000,1996,Механика,Бензин + газ,Джалолиддин Балхи (Руми)
Opel Astra F,16000,1992,Механика,Бензин + газ,Исфара
Opel Astra G,48000,1998,Механика,Бензин + газ,Вахдат
Opel Vectra A,19200,1992,Механика,Газ,Душанбе
Opel Astra F,25000,1992,Механика,Бензин,Душанбе
Opel Astra F,26000,1993,Механика,Бензин + газ,Хуросон
Opel Astra F,21000,1993,Механика,Бензин + газ,Хамадани
Opel Astra G,43500,1999,Механика,Бензин + газ,Худжанд
Opel Astra G,53000,2000,Механика,Бензин + газ,Вахдат
Opel Vectra A,22000,1994,Механика,Бензин + газ,Исфара
Opel Zafira,96000,2008,Механика,Бензин,Худжанд
Opel Astra F,37000,1997,Механика,Бензин,Файзабад
Opel Astra F,26000,1992,Механика,Бензин,Душанбе
Opel Astra G,45000,1998,Механика,Бензин + газ,Матча
Opel Zafira,71000,2007,Механика,Бензин,Душанбе
Opel Vectra A,12500,1992,Механика,Бензин + газ,Душанбе
Opel Astra F,32000,1996,Механика,Бензин,Пенджикент
Opel Astra H,77000,2007,Механика,Бензин,Худжанд
Opel Astra G,68000,1999,Механика,Бензин + газ,Спитамен
Opel Astra G,62000,1999,Механика,Бензин,Худжанд
Opel Astra F,38000,1996,Механика,Бензин,Душанбе
Opel Zafira,70000,2008,Механика,Бензин + газ,Худжанд
Opel Astra H,65000,2006,Механика,Дизель,Худжанд
Opel Astra F,35000,1995,Механика,Бензин + газ,Шахринав
Opel Vectra B,42000,1995,Механика,Бензин + газ,Истаравшан
Opel Zafira,133000,2015,Автомат,Дизель,Душанбе
Opel Astra G,52000,1999,Автомат,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,37000,1997,Механика,Бензин + газ,Душанбе
Opel Vectra B,45000,2000,Механика,Бензин,Душанбе
Opel Astra H,49000,2006,Автомат,Дизель,Бохтар (Курган-Тюбе)
Opel Astra G,50000,1999,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra F,35000,1996,Механика,Бензин + газ,Джаббор Расулов
Opel Vectra A,18500,1990,Механика,Бензин + газ,Истаравшан
Opel Astra G,60000,1999,Механика,Бензин + газ,Исфара
Opel Astra F,38000,1996,Механика,Бензин,Душанбе
Opel Vectra A,36000,1997,Механика,Бензин,Дусти (Джиликуль)
Opel Astra G,75000,2003,Автомат,Бензин + газ,Душанбе
Opel Astra F,36000,1995,Механика,Бензин + газ,Худжанд
Opel Astra G,66000,2006,Механика,Бензин,Душанбе
Opel Astra H,69700,2007,Механика,Бензин + газ,Куляб
Opel Astra G,50000,2000,Механика,Бензин + газ,Душанбе
Opel Zafira,80000,2006,Механика,Бензин,Бободжон Гафуров
Opel Astra F,17000,1992,Механика,Бензин + газ,Файзабад
Opel Astra F,55000,1994,Механика,Бензин + газ,Душанбе
Opel Astra G,59500,1999,Механика,Бензин + газ,Зафарабад
Opel Zafira,115000,2010,Механика,Бензин,Душанбе
Opel Combo,87000,2017,Механика,Дизель,Худжанд
Opel Astra F,35000,1996,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra A,23000,1993,Механика,Бензин + газ,Душанбе
Opel Combo,71000,2007,Механика,Бензин + газ,Худжанд
Opel Astra F,42000,1997,Механика,Бензин + газ,Фархор
Opel Astra G,61000,1999,Автомат,Бензин + газ,Душанбе
Opel Astra H,60000,2006,Механика,Бензин,Турсунзаде
Opel Astra H,78000,2004,Автомат,Бензин + газ,Худжанд
Opel Zafira,75000,2006,Механика,Бензин,Душанбе
Opel Zafira,66000,1999,Механика,Бензин + газ,Худжанд
Opel Astra H,75000,2007,Механика,Бензин,Душанбе
Opel Vectra B,38500,1996,Механика,Бензин + газ,Худжанд
Opel Vectra A,19500,1992,Механика,Бензин + газ,Истаравшан
Opel Zafira,47000,1999,Механика,Бензин + газ,Исфара
Opel Astra G,67000,2002,Автомат,Бензин + газ,Душанбе
Opel Astra F,28000,1994,Механика,Бензин + газ,Куляб
Opel Vectra B,57000,2001,Автомат,Бензин + газ,Душанбе
Opel Zafira,62000,2001,Механика,Бензин + газ,Худжанд
Opel Zafira,74000,2007,Механика,Бензин,Душанбе
Opel Astra F,25000,1991,Механика,Бензин + газ,Джалолиддин Балхи (Руми)
Opel Astra F,38000,1995,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra B,40000,1996,Механика,Бензин,Яван
Opel Zafira,74000,2002,Автомат,Бензин + газ,Худжанд
Opel Astra G,57000,2007,Механика,Бензин,Душанбе
Opel Meriva,42000,2006,Механика,Бензин,Душанбе
Opel Astra F,24000,1994,Механика,Бензин + газ,Душанбе
Opel Astra F,38000,1995,Механика,Бензин + газ,Яван
Opel Vectra B,28000,1996,Механика,Бензин + газ,Душанбе
Opel Meriva,58000,2006,Механика,Бензин,Душанбе
Opel Omega,16999,1995,Механика,Бензин + газ,Худжанд
Opel Vectra A,19999,1993,Механика,Бензин + газ,Вахдат
Opel Astra G,56000,1999,Механика,Бензин,Куляб
Opel Frontera,50000,2002,Автомат,Бензин + газ,Душанбе
Opel Astra F,45000,1996,Механика,Бензин,Душанбе
